Date,Open,High,Low,Close,Adj Close,Volume
2020-04-10,63.158333,99.687996,52.765152,72.447960,72.447960,6655104780
2020-04-11,72.447960,79.914688,58.276573,59.175320,59.175320,3341287450
2020-04-12,59.832657,72.875069,58.078960,67.226288,67.226288,2950841042
2020-04-13,67.854942,67.919182,59.010277,59.316463,59.316463,1388769866
2020-04-14,59.316463,60.748940,47.712608,50.283779,50.283779,1272249254
2020-04-15,50.843220,53.591331,47.607758,49.469181,49.469181,1000266405
2020-04-16,48.262608,59.424278,47.821091,53.095695,53.095695,1640643162
2020-04-17,52.980141,55.108025,50.545689,50.545689,50.545689,755116965
2020-04-18,50.545689,54.934036,50.446171,52.104549,52.104549,748341342
2020-04-19,52.136646,52.375748,45.784855,46.475632,46.475632,711310070
2020-04-20,46.933395,48.888519,39.897083,41.269184,41.269184,638985185
2020-04-21,41.466377,46.534325,39.150642,45.232067,45.232067,747493757
2020-04-22,44.732296,53.999931,43.803844,52.845226,52.845226,1438678008
2020-04-23,52.367378,53.340065,45.693851,47.683231,47.683231,1024805082
2020-04-24,47.422115,51.319611,46.823753,48.404099,48.404099,691760873
2020-04-25,48.120640,51.194695,47.435253,49.087311,49.087311,557912954
2020-04-26,49.841614,52.748611,48.146641,48.477379,48.477379,634720081
2020-04-27,48.493202,50.430737,42.735142,43.607182,43.607182,564310608
2020-04-28,44.055225,52.631519,43.334377,50.305645,50.305645,568270906
2020-04-29,50.381195,58.541668,49.804077,56.138363,56.138363,662449823
2020-04-30,56.240288,60.405586,52.096630,52.112213,52.112213,378327270
2020-05-01,52.112213,55.864475,51.724335,55.285583,55.285583,315897515
2020-05-02,55.169792,56.816933,53.681034,54.285625,54.285625,260961447
2020-05-03,54.203678,55.173649,49.640797,51.327454,51.327454,251400603
2020-05-04,51.334297,53.415890,46.782951,50.488998,50.488998,260481289
2020-05-05,50.939034,51.874397,47.453850,48.742928,48.742928,216244795
2020-05-06,48.789768,51.180340,47.456467,47.456467,47.456467,204097372
2020-05-07,47.456467,48.058670,43.377041,46.409847,46.409847,254076954
2020-05-08,46.409847,48.049408,44.656204,45.657101,45.657101,187798974
2020-05-09,45.590637,47.222408,44.430164,45.644238,45.644238,160710472
2020-05-10,45.639202,46.250320,38.755566,40.564129,40.564129,175810662
2020-05-11,40.505295,43.206886,38.380066,39.128578,39.128578,159353598
2020-05-12,38.985645,42.120430,38.378880,40.591908,40.591908,165708158
2020-05-13,40.576527,42.627106,39.068584,41.530018,41.530018,175498213
