Date,Open,High,Low,Close,Adj Close,Volume
2020-09-12,2794962.000000,3223694.750000,2690093.250000,3180212.750000,3180212.750000,45982034932
2020-09-13,3184564.750000,3184564.750000,2408817.000000,2700209.500000,2700209.500000,42461041899
2020-09-14,2704433.750000,3103111.250000,2571527.250000,2931854.500000,2931854.500000,42476189311
2020-09-15,2931854.500000,3052222.500000,2604598.000000,2607385.500000,2607385.500000,44682481756
2020-09-16,2606981.250000,2720325.000000,2279074.750000,2563740.750000,2563740.750000,53128319722
2020-09-17,2563740.750000,2683598.750000,2190988.250000,2444040.250000,2444040.250000,42728669001
2020-09-18,2444412.000000,2540776.250000,2314480.750000,2430089.750000,2430089.750000,33369617434
2020-09-19,2429590.750000,2438309.500000,2066392.625000,2282160.250000,2282160.250000,33718048800
2020-09-20,2283225.750000,2283225.750000,1940971.875000,2048710.125000,2048710.125000,32121887761
2020-09-21,2048710.125000,2068695.625000,1612880.375000,1775930.500000,1775930.500000,46493857628
2020-09-22,1774914.375000,1966476.250000,1677119.125000,1839902.500000,1839902.500000,33566142364
2020-09-23,1839551.875000,1914203.500000,1590128.125000,1590128.125000,1590128.125000,25056589743
2020-09-24,1576907.000000,1853648.875000,1511960.000000,1858260.250000,1858260.250000,24689581093
2020-09-25,1866485.875000,2026877.500000,1724037.625000,1977876.000000,1977876.000000,21268582962
2020-09-26,1978175.500000,2339674.750000,1927891.000000,2339674.750000,2339674.750000,34809368308
2020-09-27,2335881.750000,2506456.500000,2093503.250000,2247255.750000,2247255.750000,42167624564
2020-09-28,2254247.750000,2292790.500000,2053962.750000,2109552.750000,2109552.750000,31392084021
2020-09-29,2105213.000000,2123712.250000,1750181.500000,1846725.250000,1846725.250000,56034390601
2020-09-30,1848623.500000,1848623.500000,1629738.125000,1753690.875000,1753690.875000,47729138438
2020-10-01,1754269.375000,1918454.375000,1597459.375000,1669711.250000,1669711.250000,60248643506
2020-10-02,1669442.250000,1698334.625000,1412660.125000,1546831.000000,1546831.000000,56475308924
2020-10-03,1545439.000000,1588425.500000,1375434.250000,1384369.625000,1384369.625000,35089135692
2020-10-04,1384845.750000,1475960.375000,1188056.875000,1402119.125000,1402119.125000,56671220844
2020-10-05,1404963.875000,1492136.750000,1293903.875000,1395282.875000,1395282.875000,40040866676
2020-10-06,1391703.625000,1398967.375000,1198079.625000,1230308.000000,1230308.000000,38095730139
2020-10-07,1227472.000000,1227472.000000,1010906.187500,1083209.875000,1083209.875000,46683367880
2020-10-08,1086756.750000,1266328.000000,905353.875000,1209654.000000,1209654.000000,81786506239
2020-10-09,1223521.125000,1403801.500000,1164058.000000,1325628.000000,1325628.000000,167166784065
2020-10-10,1318871.000000,1407201.000000,1164771.875000,1167639.500000,1167639.500000,128617055933
2020-10-11,1168483.500000,1289705.125000,1103497.375000,1236548.750000,1236548.750000,140027042388
2020-10-12,1235299.875000,1278078.000000,1156532.750000,1210622.750000,1210622.750000,120608082116
2020-10-13,1212483.375000,1222628.000000,1128657.125000,1151088.500000,1151088.500000,104873590177
2020-10-14,1148302.625000,1175712.625000,1013978.562500,1070127.875000,1070127.875000,104083954420
2020-10-15,1069393.500000,1156910.875000,1028702.375000,1064000.625000,1064000.625000,176692610135
2020-10-16,1073454.625000,1073804.500000,985349.000000,985349.000000,985349.000000,160464564231
2020-10-17,985380.625000,1036649.812500,970087.187500,1036649.812500,1036649.812500,163528779172
2020-10-18,1031497.000000,1156016.625000,1024549.875000,1126526.500000,1126526.500000,185192983851
2020-10-19,1133481.750000,1136954.875000,1016459.750000,1016459.750000,1016459.750000,201751520001
2020-10-20,1007022.687500,1037456.250000,943482.000000,964193.750000,964193.750000,20966607387
2020-10-21,962497.312500,1071143.875000,952175.750000,982584.250000,982584.250000,24992616961
2020-10-22,982554.250000,1059213.000000,975130.125000,1009725.562500,1009725.562500,16003666334
2020-10-23,1013450.500000,1099105.875000,1011069.187500,1095676.000000,1095676.000000,20427003315
2020-10-24,1095676.000000,1141558.875000,1075708.750000,1100448.625000,1100448.625000,16624323185
2020-10-25,1100448.625000,1100448.625000,1048386.562500,1055754.250000,1055754.250000,11858348688
2020-10-26,1055754.500000,1072840.250000,979626.187500,1010924.000000,1010924.000000,16207593052
2020-10-27,1010923.437500,1045682.312500,985522.000000,988459.125000,988459.125000,13218300580
2020-10-28,988459.812500,1003174.562500,901222.562500,935622.625000,935622.625000,16268569439
2020-10-29,935622.750000,957877.937500,787054.250000,801370.000000,801370.000000,21304907072
2020-10-30,801308.375000,889704.500000,725125.312500,820255.875000,820255.875000,34259475905
2020-10-31,820269.875000,851393.500000,768107.812500,781969.687500,781969.687500,14776646438
2020-11-01,781969.687500,820761.125000,747943.500000,796530.312500,796530.312500,12664633939
2020-11-02,796529.875000,836969.187500,748500.000000,749341.312500,749341.312500,13918676663
2020-11-03,749340.937500,762086.750000,698632.812500,700361.687500,700361.687500,14574690171
2020-11-04,700387.062500,722619.937500,615601.750000,634089.750000,634089.750000,22894472681
2020-11-05,634090.000000,729177.312500,555042.625000,633246.562500,633246.562500,28576910512
2020-11-06,633211.750000,881372.687500,626000.062500,866016.937500,866016.937500,34663819340
2020-11-07,866016.937500,1253324.750000,866016.937500,1051986.500000,1051986.500000,93421683420
2020-11-08,1051986.500000,1181123.875000,996696.062500,1119903.000000,1119903.000000,39397848697
2020-11-09,1119902.750000,1148394.250000,1039023.812500,1107204.125000,1107204.125000,31367550063
2020-11-10,1107204.750000,1399206.375000,1087713.875000,1351583.750000,1351583.750000,58083709350
2020-11-11,1351583.750000,1425983.000000,1183318.250000,1250050.625000,1250050.625000,43298072404
2020-11-12,1250048.625000,1275608.125000,1120392.500000,1156894.000000,1156894.000000,33325916322
2020-11-13,1156895.000000,1366958.125000,1134195.750000,1335267.750000,1335267.750000,42421165626
2020-11-14,1335267.750000,1335267.750000,1203037.625000,1281594.250000,1281594.250000,27548385522
2020-11-15,1281594.250000,1370919.500000,1239210.000000,1311387.750000,1311387.750000,32978523026
2020-11-16,1311387.750000,1421439.625000,1269586.250000,1387987.375000,1387987.375000,35202377759
2020-11-17,1449377.500000,1831704.250000,1448874.875000,1771069.750000,1771069.750000,58190386744
2020-11-18,1771020.625000,1929548.375000,1563256.375000,1890722.500000,1890722.500000,85033226851
2020-11-19,1890752.500000,2194410.750000,1807338.375000,2052692.250000,2052692.250000,85985214973
2020-11-20,2052685.625000,2209108.500000,1909577.250000,1962939.500000,1962939.500000,65768269619
2020-11-21,1962939.500000,2058103.125000,1742325.500000,1798488.875000,1798488.875000,52905511097
2020-11-22,1798488.875000,2010257.000000,1591222.500000,1798526.000000,1798526.000000,76541789597
2020-11-23,1798526.375000,1943618.625000,1730909.875000,1868136.625000,1868136.625000,52557364942
2020-11-24,1867703.000000,1953179.375000,1728925.750000,1836924.125000,1836924.125000,44383723396
2020-11-25,1833828.250000,1833828.250000,1596818.125000,1650683.750000,1650683.750000,32368327125
2020-11-26,1650855.000000,1712612.375000,1353429.375000,1712612.375000,1712612.375000,60740552231
2020-11-27,1716309.875000,1874307.000000,1656663.375000,1738476.500000,1738476.500000,49063837533
2020-11-28,1738776.250000,1804264.500000,1674249.750000,1730065.250000,1730065.250000,25149942009
2020-11-29,1730835.125000,1839309.750000,1704834.500000,1822622.750000,1822622.750000,24301750612
2020-11-30,1821786.500000,1985737.125000,1821786.500000,1951417.875000,1951417.875000,38972621253
2020-12-01,1954544.625000,2069399.875000,1846167.250000,1896928.250000,1896928.250000,46251822323
2020-12-02,1895696.375000,2332596.500000,1877622.500000,2233140.250000,2233140.250000,67941693410
2020-12-03,2235611.500000,2309843.750000,2120515.250000,2193187.000000,2193187.000000,44072401333
2020-12-04,2194569.250000,2253587.750000,1936016.125000,1968307.000000,1968307.000000,35450136246
2020-12-05,1965440.250000,2179862.750000,1948099.500000,2165417.500000,2165417.500000,28867452150
2020-12-06,2165926.750000,2174027.750000,2062204.750000,2124486.500000,2124486.500000,22102650759
2020-12-07,2124558.500000,2168373.250000,2063843.250000,2105349.750000,2105349.750000,22420896415
2020-12-08,2105726.250000,2107274.250000,1852035.375000,1876778.750000,1876778.750000,27817636814
2020-12-09,1876369.750000,1933735.500000,1742521.250000,1889364.000000,1889364.000000,30079515454
2020-12-10,1888784.125000,1900600.875000,1759071.125000,1774369.625000,1774369.625000,23433291200
2020-12-11,1773874.250000,1779348.500000,1627341.500000,1725364.250000,1725364.250000,27842059231
2020-12-12,1724198.375000,1895870.625000,1724094.750000,1870007.500000,1870007.500000,24789009722
2020-12-13,1870139.875000,1990326.000000,1870139.875000,1942533.625000,1942533.625000,23255178930
2020-12-14,1943332.375000,1943332.375000,1842786.500000,1901199.500000,1901199.500000,20541701609
2020-12-15,1901741.375000,1944777.750000,1811023.625000,1822947.750000,1822947.750000,19959488296
2020-12-16,1823307.250000,2037877.625000,1784481.000000,1986685.125000,1986685.125000,36183439305
2020-12-17,1986146.250000,2058302.875000,1903029.125000,1955347.125000,1955347.125000,42179415913
2020-12-18,1955761.375000,2101076.000000,1912398.375000,2050654.875000,2050654.875000,31872180084
2020-12-19,2050238.625000,2121285.000000,2010193.500000,2036166.750000,2036166.750000,26620662807
2020-12-20,2035796.000000,2035796.000000,1885650.375000,1919403.750000,1919403.750000,23347296586
2020-12-21,1920265.250000,1971661.500000,1783837.250000,1822516.375000,1822516.375000,25275987613
2020-12-22,1820058.875000,1862804.750000,1668955.250000,1844295.875000,1844295.875000,29818106984
2020-12-23,1843795.625000,1878847.000000,1388126.375000,1487708.875000,1487708.875000,38876874605
2020-12-24,1487921.000000,1757436.125000,1428388.875000,1757436.125000,1757436.125000,40481804612
2020-12-25,1757667.000000,1845138.750000,1671431.125000,1743439.000000,1743439.000000,29166096833
2020-12-26,1742069.875000,1754300.625000,1621085.250000,1657209.000000,1657209.000000,25353841059
2020-12-27,1657190.875000,1835233.375000,1605578.250000,1679102.750000,1679102.750000,32848823148
2020-12-28,1679120.125000,1791372.750000,1662135.375000,1676560.500000,1676560.500000,25821160448
2020-12-29,1677042.125000,1698308.875000,1556090.500000,1630335.375000,1630335.375000,23293395464
2020-12-30,1630009.375000,1662808.875000,1571614.875000,1601120.000000,1601120.000000,20860146787
2020-12-31,1599708.750000,1711782.000000,1551205.250000,1661190.500000,1661190.500000,25046108470
2021-01-01,1660724.000000,1712857.000000,1583864.875000,1600864.125000,1600864.125000,19436821769
2021-01-02,1600875.250000,1630544.625000,1566055.625000,1571846.500000,1571846.500000,23216937972
2021-01-03,1571491.125000,1804314.375000,1493389.875000,1732763.625000,1732763.625000,46017444247
2021-01-04,1738726.375000,1952482.250000,1625483.250000,1712793.750000,1712793.750000,47334024681
2021-01-05,1708607.125000,1826717.625000,1618897.375000,1743763.375000,1743763.375000,32810796759
2021-01-06,1744973.250000,1858249.125000,1675416.750000,1815263.000000,1815263.000000,30551111855
2021-01-07,1814870.125000,2696444.500000,1774341.250000,2431647.000000,2431647.000000,123607159247
2021-01-08,2427716.750000,2782807.250000,2022257.000000,2563799.750000,2563799.750000,110277493286
2021-01-09,2564979.750000,2908722.500000,2483951.000000,2641135.250000,2641135.250000,84850427441
2021-01-10,2641502.500000,2806549.750000,2310332.250000,2498386.250000,2498386.250000,60755641898
2021-01-11,2498467.000000,2498467.000000,1889252.125000,2212074.750000,2212074.750000,82496908638
2021-01-12,2209064.250000,2362614.000000,2069407.750000,2162624.250000,2162624.250000,48455824050
2021-01-13,2163222.000000,2473533.000000,2071609.250000,2442410.000000,2442410.000000,55055606884
2021-01-14,2444936.750000,2490353.250000,2300825.500000,2384318.000000,2384318.000000,45397469493
2021-01-15,2389941.000000,2451443.500000,2103585.250000,2214329.500000,2214329.500000,46200543743
2021-01-16,2214089.500000,2566871.750000,2214089.500000,2476471.250000,2476471.250000,57176071634
2021-01-17,2474738.250000,2679615.750000,2387873.250000,2516850.500000,2516850.500000,57839477135
2021-01-18,2519973.250000,2943284.500000,2519973.250000,2783942.750000,2783942.750000,67840025786
