Date,Open,High,Low,Close,Adj Close,Volume
2018-01-03,35.893730,42.994770,32.553799,41.352406,41.352406,3390499950
2018-01-04,40.967216,43.418411,38.461571,40.200356,40.200356,3164259993
2018-01-05,39.573063,42.046967,33.219753,35.013954,35.013954,2953901190
2018-01-06,35.216927,47.463428,35.026558,42.045105,42.045105,3288226593
2018-01-07,41.952766,53.293079,41.952766,48.018898,48.018898,4992582552
2018-01-08,48.157524,58.598362,37.272533,53.834236,53.834236,4541316582
2018-01-09,54.184849,62.436394,51.991436,56.786758,56.786758,5536155604
2018-01-10,57.102604,57.102604,46.988132,51.034374,51.034374,3078896262
2018-01-11,50.909294,50.909294,39.562687,41.596222,41.596222,2172717024
2018-01-12,42.443485,48.843250,40.472080,47.194378,47.194378,2064831240
2018-01-13,47.255817,50.274464,46.686150,48.588684,48.588684,1857291720
2018-01-14,48.713081,48.713081,40.721619,42.126034,42.126034,1713695640
2018-01-15,42.017784,46.326607,38.779778,43.794525,43.794525,1832885898
2018-01-16,43.911701,43.911701,23.487574,30.968868,30.968868,1751031956
2018-01-17,30.751877,37.576775,22.424875,37.576775,37.576775,1682215920
2018-01-18,37.896107,42.156700,36.213062,37.803013,37.803013,2170122450
2018-01-19,37.474709,40.454514,35.612804,37.868935,37.868935,1210512232
2018-01-20,38.171955,43.182014,38.127216,41.638271,41.638271,931982606
2018-01-21,41.704266,41.704266,33.366116,35.451180,35.451180,655405872
2018-01-22,35.732052,36.674801,29.609467,32.680435,32.680435,1061775032
2018-01-23,32.856808,36.854767,30.112831,36.854767,36.854767,1090998375
2018-01-24,36.736767,39.628593,33.558052,34.570099,34.570099,2265424435
2018-01-25,35.056129,36.103657,34.359661,35.249004,35.249004,1269825291
2018-01-26,35.218834,35.756702,31.572527,35.527622,35.527622,1046699121
2018-01-27,35.476002,42.268646,34.926949,42.097008,42.097008,1949831754
2018-01-28,42.078190,42.078190,39.251934,41.323612,41.323612,1629229173
2018-01-29,41.179504,41.765999,37.728394,38.609367,38.609367,1270153019
2018-01-30,38.621639,38.686119,32.295883,32.435345,32.435345,1072670496
2018-01-31,32.442474,33.604340,30.708342,32.854309,32.854309,1112502798
2018-02-01,33.001598,33.745823,27.042362,29.557594,29.557594,882741221
2018-02-02,29.538530,29.538530,20.939003,26.687128,26.687128,449896698
2018-02-03,26.823448,29.881844,24.599318,28.762438,28.762438,549508400
2018-02-04,28.670551,29.496035,22.875067,24.718517,24.718517,514021827
2018-02-05,24.481977,24.951914,18.007191,18.923929,18.923929,485071624
2018-02-06,18.959072,24.829378,14.859667,22.935194,22.935194,593550828
2018-02-07,22.855841,24.647224,20.399611,21.902252,21.902252,495681090
2018-02-08,21.878086,25.308264,21.878086,23.972197,23.972197,368294909
2018-02-09,24.069984,25.674040,22.863710,24.902925,24.902925,286601887
2018-02-10,24.918240,26.214752,22.122343,23.247715,23.247715,285098261
2018-02-11,23.202869,23.202869,20.721985,21.466848,21.466848,181069488
2018-02-12,21.576162,24.990040,21.576162,24.451586,24.451586,237139590
2018-02-13,24.431789,24.525688,21.874041,22.340822,22.340822,214227418
2018-02-14,22.338898,25.782661,22.240835,25.374952,25.374952,293608299
2018-02-15,25.304003,27.425587,25.278490,26.487133,26.487133,349222740
2018-02-16,26.433464,28.261295,26.355520,27.980568,27.980568,318920765
2018-02-17,28.065748,30.959312,27.764914,30.779888,30.779888,346649961
2018-02-18,30.905094,30.905094,26.689665,27.276304,27.276304,315893776
2018-02-19,27.127010,28.107378,26.387415,27.352814,27.352814,279740789
2018-02-20,27.385126,28.333370,25.188000,25.403301,25.403301,360296873
2018-02-21,25.383976,26.299723,23.501925,23.566269,23.566269,281191176
2018-02-22,23.564911,24.590076,21.878572,22.210384,22.210384,231931205
2018-02-23,22.161201,23.649239,21.745913,23.252340,23.252340,181401978
2018-02-24,23.158913,23.584314,21.542124,21.981501,21.981501,223400042
2018-02-25,21.901985,24.488174,21.901985,23.079203,23.079203,374713932
2018-02-26,23.080301,24.088896,22.606373,23.675867,23.675867,171632133
2018-02-27,23.763811,24.544085,23.292089,23.721294,23.721294,227531619
2018-02-28,23.683323,24.370022,22.132662,22.173609,22.173609,207538772
2018-03-01,22.166435,26.326000,21.397728,24.453457,24.453457,724724640
2018-03-02,24.369909,27.304613,24.108507,26.454327,26.454327,853781488
2018-03-03,26.395769,26.507149,24.325352,24.729849,24.729849,327240735
2018-03-04,24.700308,24.760628,23.978762,24.574976,24.574976,212445051
2018-03-05,24.557758,25.519083,24.403341,24.415854,24.415854,261229554
2018-03-06,24.420732,24.420732,21.688541,21.952227,21.952227,204526976
2018-03-07,21.900181,22.470364,18.030691,19.456783,19.456783,320470125
2018-03-08,19.365316,20.160721,17.497774,17.656292,17.656292,209476176
2018-03-09,17.535921,17.648611,14.944730,16.912769,16.912769,328973867
2018-03-10,16.849213,19.321493,16.849213,16.997950,16.997950,277866389
2018-03-11,16.924688,18.267984,16.383085,17.768513,17.768513,168245334
2018-03-12,17.712641,18.193270,16.625717,17.006371,17.006371,451785146
