Date,Open,High,Low,Close,Adj Close,Volume
2018-03-05,752027.812500,761117.625000,744711.812500,752495.937500,752495.937500,420584464558
2018-03-06,747736.500000,747736.500000,694060.062500,699561.625000,699561.625000,443373671113
2018-03-07,701119.125000,708996.687500,628727.812500,646466.562500,646466.562500,570720422737
2018-03-08,645549.937500,660519.687500,607251.687500,611615.125000,611615.125000,467814457959
2018-03-09,612896.375000,616259.375000,554070.562500,608061.250000,608061.250000,566816883014
2018-03-10,608910.437500,620679.562500,574909.937500,577353.937500,577353.937500,350757150064
2018-03-11,576493.062500,632438.250000,560495.687500,623760.375000,623760.375000,410019625860
2018-03-12,625342.750000,645887.812500,581988.812500,598148.687500,598148.687500,419601839524
2018-03-13,596064.125000,615101.187500,580983.437500,596286.000000,596286.000000,388525418624
2018-03-14,597570.062500,606726.875000,523086.687500,536131.750000,536131.750000,417390451936
2018-03-15,537489.937500,547589.875000,505372.875000,539389.875000,539389.875000,444101258281
2018-03-16,540822.687500,557863.062500,520185.062500,541825.937500,541825.937500,343703902003
2018-03-17,540757.750000,542357.562500,507677.031250,514438.843750,514438.843750,287611219722
2018-03-18,512726.000000,535793.250000,480721.406250,534374.687500,534374.687500,431414567240
2018-03-19,542200.937500,565536.562500,532449.187500,562804.687500,562804.687500,438805264143
2018-03-20,562088.687500,590126.500000,546685.187500,581425.625000,581425.625000,414979558569
2018-03-21,582991.875000,598410.437500,576780.750000,581921.187500,581921.187500,393830772716
2018-03-22,582583.312500,593093.250000,557575.000000,568223.375000,568223.375000,360028390042
2018-03-23,568729.875000,576997.687500,543273.125000,576997.687500,576997.687500,386898730076
2018-03-24,578448.750000,584571.750000,563097.187500,563254.437500,563254.437500,368085712159
2018-03-25,559660.375000,564157.000000,549022.500000,552055.812500,552055.812500,296950806559
2018-03-26,552230.562500,553644.875000,513467.093750,532133.312500,532133.312500,383801804503
2018-03-27,531524.000000,533648.812500,505185.750000,508677.625000,508677.625000,349263570587
2018-03-28,508923.750000,529389.062500,507127.500000,518234.375000,518234.375000,321534134119
2018-03-29,519836.406250,520830.593750,461068.656250,466558.750000,466558.750000,414179673841
2018-03-30,466933.125000,473783.343750,435190.687500,448641.750000,448641.750000,409509988808
2018-03-31,448769.375000,469303.125000,446883.781250,454046.531250,454046.531250,296463394074
2018-04-01,455969.250000,459738.468750,424964.500000,445627.812500,445627.812500,295085037251
2018-04-02,445668.812500,464590.468750,443827.531250,461297.031250,461297.031250,282193612799
2018-04-03,462499.156250,489435.781250,460560.562500,484572.593750,484572.593750,357425517558
2018-04-04,484592.093750,485467.500000,442524.343750,445773.750000,445773.750000,321037440001
2018-04-05,445436.187500,451201.000000,432177.781250,441928.187500,441928.187500,365879085752
2018-04-06,442219.468750,445805.437500,427177.750000,430829.875000,430829.875000,244541312471
2018-04-07,430452.687500,457721.062500,430452.687500,448667.937500,448667.937500,258161524316
2018-04-08,449245.093750,461682.468750,449245.093750,455966.906250,455966.906250,237120297922
2018-04-09,457317.250000,466415.625000,432696.281250,439758.906250,439758.906250,317869199078
2018-04-10,441363.812500,446294.312500,435434.531250,443849.312500,443849.312500,277472390196
2018-04-11,444414.968750,454717.718750,443944.406250,454717.718750,454717.718750,302906518377
2018-04-12,453873.312500,515661.718750,444805.406250,515010.250000,515010.250000,581400015666
